"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.229999952E-4,-3.592529297E-2,1.568887482E0,9.697583771E0
2.063400000E-2,-5.463638306E-2,1.746717682E0,9.841883698E0
4.074500001E-2,2.260299683E-2,1.759291534E0,9.487720184E0
6.085600000E-2,1.511856079E-2,1.827549591E0,9.136251068E0
8.096599999E-2,1.580712891E-1,1.959575043E0,9.181307373E0
1.010770000E-1,1.269360352E-1,1.720971222E0,9.706714783E0
1.211880000E-1,2.652484131E-1,1.610500946E0,9.725425873E0
1.412990000E-1,2.475851440E-1,1.571282501E0,9.824220428E0
1.614100000E-1,2.911445618E-1,1.563049622E0,9.923014984E0
1.815210000E-1,3.135978699E-1,1.501377869E0,9.863887939E0
2.016320000E-1,2.510279846E-1,1.580263824E0,9.738748169E0
2.217430000E-1,2.106120300E-1,1.655407562E0,9.617799683E0
2.418530000E-1,1.914518738E-1,1.658101959E0,9.609566803E0
2.619640000E-1,1.089733887E-1,1.665586395E0,9.741741943E0
2.820750000E-1,1.854643250E-1,1.590442657E0,9.781110077E0
3.021860000E-1,1.760339355E-1,1.562001801E0,9.796977081E0
3.222970000E-1,1.288819885E-1,1.614841919E0,9.826016693E0
3.424085417E-1,1.130149841E-1,1.608704681E0,9.796827393E0
3.625195417E-1,8.622070312E-2,1.665287018E0,9.706265717E0
3.826305417E-1,3.427871704E-2,1.658401337E0,9.651928711E0
4.027405417E-1,1.706451416E-2,1.665736084E0,9.626032562E0
4.228515417E-1,3.502716064E-2,1.701960754E0,9.566905518E0
4.429625417E-1,5.313949585E-2,1.713786163E0,9.427545319E0
4.630735417E-1,1.191522217E-1,1.664688263E0,9.388177185E0
4.831845417E-1,1.070274353E-1,1.587448883E0,9.539063416E0
5.032955417E-1,1.950444031E-1,1.541045380E0,9.574689331E0
5.234065417E-1,3.293151855E-1,1.516346741E0,9.682165833E0
5.435165417E-1,3.528163147E-1,1.484463043E0,9.633966064E0
5.636275417E-1,2.802172852E-1,1.533860321E0,9.781708832E0
5.837385417E-1,2.130070496E-1,1.503024445E0,9.850116577E0
6.038495417E-1,3.200344849E-1,1.468596039E0,9.856253815E0
6.239605417E-1,2.336640930E-1,1.386117554E0,9.947414246E0
6.440715417E-1,2.426454163E-1,1.447938995E0,9.826316071E0
6.641825417E-1,1.621128845E-1,1.448238373E0,9.742340698E0
6.842925417E-1,1.689985657E-1,1.481020203E0,9.679770813E0
7.044035417E-1,7.978408813E-2,1.485361176E0,9.654323730E0
7.245145417E-1,2.664459229E-2,1.508862305E0,9.668095093E0
7.446255417E-1,1.990859985E-2,1.496138763E0,9.659263458E0
7.647365417E-1,7.753875732E-2,1.548529816E0,9.573342133E0
7.848475417E-1,1.390608215E-1,1.543440399E0,9.526938629E0
8.049585417E-1,1.522334290E-1,1.486558685E0,9.577533417E0
8.250685417E-1,1.468446350E-1,1.425186310E0,9.597591705E0
8.451795417E-1,1.300794983E-1,1.422791290E0,9.652377777E0
8.652905417E-1,6.376739502E-2,1.378333740E0,9.706415405E0
8.854015417E-1,8.307723999E-2,1.492246857E0,9.787846069E0
9.055125417E-1,6.137237549E-2,1.410965881E0,9.704170074E0
9.256235417E-1,1.076261902E-1,1.453477478E0,9.788145447E0
9.457345417E-1,4.984634399E-2,1.502425690E0,9.716594238E0
9.658445417E-1,8.053253174E-2,1.487157440E0,9.702224121E0
9.859555417E-1,1.062789917E-1,1.442250824E0,9.825867004E0
1.006066542E0,6.002517700E-2,1.445094910E0,9.780960388E0
1.026177542E0,-4.490661621E-4,1.514849854E0,9.637708282E0
1.046288542E0,-6.676116943E-2,1.584155731E0,9.717342682E0
1.066399542E0,1.945953369E-2,1.543290710E0,9.763147430E0
1.086510542E0,7.185058594E-2,1.414259033E0,9.830806732E0
1.106620542E0,2.424957275E-2,1.474433899E0,9.621092834E0
1.126731542E0,-6.451583862E-2,1.513352966E0,9.710007935E0
1.146842542E0,-8.592132568E-2,1.405726776E0,9.957742767E0
1.166953542E0,4.805007935E-2,1.592837677E0,9.662406921E0
1.187064542E0,-2.754272461E-2,1.400487671E0,9.684111786E0
1.207175542E0,-9.280700684E-3,1.503623199E0,9.585915985E0
1.227285542E0,3.966751099E-2,1.396595764E0,9.559720459E0
1.247396542E0,9.879455566E-2,1.469344482E0,9.723330231E0
1.267507542E0,1.601669312E-1,1.417252808E0,9.692943420E0
1.287618542E0,2.171983337E-1,1.408870239E0,9.623338165E0
1.307729542E0,1.305285645E-1,1.452579346E0,9.633067932E0
1.327840000E0,7.080276489E-2,1.431323547E0,9.632469177E0
1.347950000E0,6.990463257E-2,1.374142456E0,9.672436066E0
1.368061000E0,-1.437011719E-2,1.463656311E0,9.825567627E0
1.388172000E0,1.601669312E-2,1.426683197E0,9.854607239E0
1.408283000E0,1.332229614E-2,1.466949463E0,9.797126770E0
1.428394000E0,3.487747192E-2,1.435215454E0,9.634864197E0
1.448505000E0,7.783813477E-3,1.378333740E0,9.735005951E0
1.468616000E0,6.915618896E-2,1.424587555E0,9.839338989E0
1.488726000E0,5.284011841E-2,1.465153198E0,9.743388519E0
1.508837000E0,9.729766846E-3,1.496587830E0,9.675729218E0
1.528948000E0,6.721023560E-2,1.454674988E0,9.639055481E0
1.549059000E0,8.068222046E-2,1.453926544E0,9.738598480E0
1.569170000E0,1.302291870E-2,1.501976624E0,9.695787506E0
1.589281000E0,-2.709365845E-2,1.513802032E0,9.641450500E0
1.609391000E0,4.610412598E-2,1.465302887E0,9.689201202E0
1.629502000E0,1.044827271E-1,1.428928528E0,9.676178284E0
1.649613000E0,3.832031250E-2,1.445394287E0,9.717941437E0
1.669724000E0,-2.080673218E-2,1.482367401E0,9.732461243E0
1.689835000E0,1.317260742E-2,1.449435883E0,9.743538208E0
1.709946000E0,5.403762817E-2,1.452130280E0,9.750124512E0
1.730056000E0,6.825805664E-2,1.469943237E0,9.666747894E0
1.750167000E0,2.035766602E-2,1.497485962E0,9.601782990E0
1.770278000E0,-2.035766602E-2,1.479074249E0,9.664203186E0
1.790389000E0,5.748046875E-2,1.474733276E0,9.702822876E0
1.810500000E0,4.131408691E-2,1.474882965E0,9.709858246E0
1.830610000E0,6.855743408E-2,1.466799774E0,9.667795715E0
1.850721000E0,9.280700684E-3,1.500030670E0,9.646839294E0
1.870832000E0,3.158432007E-2,1.484463043E0,9.631271667E0
1.890943000E0,3.038681030E-2,1.451980591E0,9.635612640E0
1.911054000E0,3.053649902E-2,1.420995026E0,9.674232330E0
1.931165000E0,-7.484436035E-4,1.437161407E0,9.681118011E0
1.951275000E0,1.945953369E-3,1.533860321E0,9.628427582E0
1.971386000E0,-5.029541016E-2,1.679956512E0,9.586963806E0
1.991497000E0,2.914439392E-1,1.363215179E0,9.586814117E0
2.011608000E0,4.321513367E-1,1.154549103E0,9.794881439E0
2.031719000E0,1.646575928E-1,1.269210663E0,9.917027435E0
2.051830000E0,5.239105225E-3,1.351689148E0,9.907297668E0
2.071940000E0,1.478924561E-1,1.342109070E0,9.898316345E0
2.092051000E0,8.128097534E-2,1.384920044E0,9.697583771E0
2.112162000E0,5.493576050E-2,1.438807983E0,9.711055756E0
2.132273000E0,5.987548828E-3,1.444945221E0,9.787247314E0
2.152384000E0,1.002914429E-2,1.439706116E0,9.854158173E0
2.172494000E0,4.969665527E-2,1.463506622E0,9.748328247E0
2.192605000E0,4.116439819E-2,1.490300903E0,9.605076141E0
2.212716000E0,1.826202393E-2,1.459015961E0,9.548942871E0
2.232827000E0,4.700225830E-2,1.452279968E0,9.663454742E0
2.252938000E0,6.167175293E-2,1.418001251E0,9.696685638E0
2.273049000E0,6.092330933E-2,1.474134521E0,9.640552368E0
2.293159000E0,-2.424957275E-2,1.440604248E0,9.592352600E0
2.313270000E0,-2.395019531E-3,1.434167633E0,9.676477661E0
2.333381250E0,-4.041595459E-2,1.380579071E0,9.630972290E0
2.353492250E0,5.942642212E-2,1.376088409E0,9.640103302E0
2.373603250E0,8.936416626E-2,1.411714325E0,9.667795715E0
2.393713250E0,8.457412720E-2,1.422940979E0,9.680818634E0
2.413824250E0,8.861572266E-2,1.461860046E0,9.676777039E0
2.433935250E0,7.664062500E-2,1.422491913E0,9.724228363E0
2.454046250E0,2.499801636E-2,1.398990784E0,9.856702881E0
2.474157250E0,5.538482666E-3,1.399140472E0,9.871222687E0
2.494268250E0,6.735992432E-3,1.401984558E0,9.820627899E0
2.514378250E0,5.807922363E-2,1.447489929E0,9.751172333E0
2.534489250E0,1.526824951E-2,1.452729034E0,9.730066223E0
2.554600250E0,2.814147949E-2,1.413959656E0,9.614506531E0
