"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.123926163E-3,5.575148571E1,4.875277440E1,2.111246416E2,NaN,NaN,1.089501400E1,3.004205550E1
5.175948143E-3,5.575148859E1,4.875276898E1,2.099800447E2,NaN,NaN,9.531070370E0,3.000000000E1
2.090394497E-2,5.575148860E1,4.875276899E1,2.099790197E2,NaN,NaN,9.531053055E0,3.000003579E1
2.242898941E-2,5.575148860E1,4.875276899E1,2.099790197E2,NaN,NaN,9.531053055E0,3.000004328E1
6.009613991E0,5.575149041E1,4.875276557E1,2.099800447E2,NaN,NaN,8.607465411E0,3.000000000E1
1.146749294E1,5.575149051E1,4.875276538E1,2.099800447E2,NaN,NaN,8.661465732E0,3.000000000E1
1.554304492E1,5.575151259E1,4.875276462E1,2.099800447E2,NaN,NaN,1.015783848E1,3.000000000E1
1.745633197E1,5.575152294E1,4.875276341E1,2.099800447E2,NaN,NaN,1.057173986E1,3.000000000E1
2.155260992E1,5.575154299E1,4.875276309E1,2.099800447E2,NaN,NaN,1.113781261E1,3.000000000E1
2.709501195E1,5.575153819E1,4.875270788E1,2.100304992E2,NaN,NaN,1.209424805E1,3.006249961E1
2.745654893E1,5.575153313E1,4.875271657E1,2.099800447E2,NaN,NaN,1.124524042E1,3.000000000E1
2.756023097E1,5.575153298E1,4.875271588E1,2.099800447E2,NaN,NaN,1.124885729E1,3.000000000E1
2.981810999E1,5.575154136E1,4.875275547E1,2.099800447E2,NaN,NaN,1.585130748E1,3.000000000E1
2.987423003E1,5.575152858E1,4.875273720E1,2.103542410E2,NaN,NaN,1.585174747E1,3.000000000E1
3.012467396E1,5.575152849E1,4.875273597E1,2.103542410E2,NaN,NaN,1.585136680E1,3.000000000E1
4.098686397E1,5.575154293E1,4.875254684E1,2.127855183E2,NaN,NaN,1.574473742E1,3.000000000E1
4.452881193E1,5.575157600E1,4.875237977E1,2.127855475E2,NaN,NaN,2.532283629E1,3.000000000E1
4.453795195E1,5.575164854E1,4.875201820E1,2.127862932E2,NaN,NaN,2.185956813E1,3.000000000E1
4.483910894E1,5.575164897E1,4.875201661E1,2.127862932E2,NaN,NaN,2.187034290E1,3.000000000E1
5.045479894E1,5.575169524E1,4.875184209E1,2.126855455E2,NaN,NaN,2.240791849E1,3.000000000E1
5.085536599E1,5.575169646E1,4.875183844E1,2.126855455E2,NaN,NaN,2.244312063E1,3.000000000E1
5.251468492E1,5.575168988E1,4.875185726E1,2.126855455E2,NaN,NaN,2.511034365E1,3.000000000E1
5.253547096E1,5.575170365E1,4.875179738E1,2.125824940E2,NaN,NaN,2.059091364E1,3.000000000E1
5.282962394E1,5.575170454E1,4.875179572E1,2.125824940E2,NaN,NaN,2.062006641E1,3.000000000E1
5.645604193E1,5.575171968E1,4.875177105E1,2.125824940E2,NaN,NaN,2.128849001E1,3.000000000E1
6.286329293E1,5.575179761E1,4.875138724E1,2.132501445E2,NaN,NaN,1.327359179E1,3.000000000E1
6.316904402E1,5.575179885E1,4.875138591E1,2.132501445E2,NaN,NaN,1.327595033E1,3.000000000E1
6.845521498E1,5.575181743E1,4.875135839E1,2.132501445E2,NaN,NaN,1.284332477E1,3.000000000E1
6.918329096E1,5.575182014E1,4.875135612E1,2.132501445E2,NaN,NaN,1.288324108E1,3.000000000E1
7.007666802E1,5.575182505E1,4.875135268E1,2.132341011E2,NaN,NaN,1.336014672E1,3.011936973E1
7.007969892E1,5.575182506E1,4.875135268E1,2.132341011E2,NaN,NaN,1.336014861E1,3.011976715E1
7.445560002E1,5.575183449E1,4.875134252E1,2.132501445E2,NaN,NaN,1.272156162E1,3.000000000E1
7.519910896E1,5.575183773E1,4.875134205E1,2.132501445E2,NaN,NaN,1.285774622E1,3.000000000E1
7.646560895E1,5.575180725E1,4.875134487E1,2.132501445E2,NaN,NaN,1.745406596E1,3.000000000E1
7.648800492E1,5.575183510E1,4.875137256E1,2.131222681E2,NaN,NaN,1.834558280E1,3.000000000E1
7.677273202E1,5.575183497E1,4.875137260E1,2.131222681E2,NaN,NaN,1.836849549E1,3.000000000E1
8.245595598E1,5.575184665E1,4.875137625E1,2.131222681E2,NaN,NaN,1.558861460E1,3.000000000E1
8.277706492E1,5.575184790E1,4.875137645E1,2.131222681E2,NaN,NaN,1.562337727E1,3.000000000E1
8.845517695E1,5.575185970E1,4.875138304E1,2.131222681E2,NaN,NaN,1.477591822E1,3.000000000E1
8.878451002E1,5.575186070E1,4.875138295E1,2.131222681E2,NaN,NaN,1.480672994E1,3.000000000E1
9.445528698E1,5.575185920E1,4.875134514E1,2.131222681E2,NaN,NaN,1.395671102E1,3.000000000E1
9.479215801E1,5.575185954E1,4.875134215E1,2.131222681E2,NaN,NaN,1.401543163E1,3.000000000E1
